complexity_score,department_count,original_cost_usd,change_domain,risk_level,cost_overrun_usd
4.370861069626263,4,248230.5996270299,Electrical,High,82932.56494579215
9.556428757689245,3,193788.10601430942,Software,High,60524.58706470585
7.587945476302646,5,225612.09177746007,Software,High,90685.3803428652
6.387926357773329,1,114255.38248831671,Electrical,Low,14290.996387167046
2.4041677639819286,5,444806.06714829325,Mechanical,Medium,100284.90238032199
2.403950683025824,1,225859.2087081492,Software,Low,7860.149008064857
1.5227525095137953,2,441347.2607875938,Software,Medium,47734.921268508195
8.795585311974417,1,53741.046473230774,Electrical,Medium,8646.355194395517
6.41003510568888,4,494149.3602290655,Electrical,High,182660.98135539755
7.372653200164409,3,222193.2706343655,Mechanical,Medium,61402.6963286226
1.185260448662222,2,24867.57937665863,Software,Low,2927.6285983560656
9.72918866945795,1,19972.90227049,Mechanical,High,6476.079487882242
8.491983767203795,5,373357.4214834375,Mechanical,High,154043.02054575479
2.9110519961044856,2,329858.7315676367,Electrical,Medium,62581.301237605214
2.636424704863906,2,401263.1485056662,Software,Medium,52730.764504556326
2.650640588680904,1,53578.39944245017,Software,Low,4542.153956972315
3.7381801866358395,2,18749.862650738625,Software,Medium,3345.6519379658926
5.72280788469014,5,254781.06543434167,Electrical,High,61887.78571268557
4.887505167779042,2,194410.020509902,Electrical,Medium,40591.87026766858
3.6210622617823773,5,231511.52139880692,Electrical,High,62231.821792135954
6.506676052501415,1,495802.6160262667,Electrical,Low,77141.3080218092
2.2554447458683766,3,485404.2288776644,Electrical,Medium,92049.26074673978
3.629301836816963,2,471215.3794469232,Software,Medium,58272.40306120111
4.297256589643226,3,392137.49570706923,Mechanical,Low,81105.52090702081
5.104629857953324,5,178065.83876818832,Software,High,68290.89977964568
8.066583652537123,2,206653.334201123,Mechanical,Medium,44740.531435775585
2.7970640394252375,4,275258.4058157433,Electrical,Medium,51618.75972622582
5.628109945722504,3,415436.69374601514,Mechanical,Medium,78288.98490111977
6.331731119758382,2,35287.70342661561,Software,High,10260.106791878332
1.4180537144799796,3,212724.14605655917,Software,Medium,16050.15737493122
6.467903667112945,2,42226.214066175075,Mechanical,Medium,7276.913171939909
2.5347171131856236,1,257814.13570018226,Electrical,Low,11243.397267302604
1.5854643368675156,3,449551.51117911143,Electrical,Low,39939.77635886556
9.539969835279999,4,391459.977357405,Software,High,106849.82151382063
9.690688297671034,4,114693.36635401187,Mechanical,High,44564.87962868621
8.27557613304815,5,488019.4339497974,Electrical,High,223861.22474911538
3.741523922560336,2,334007.84862516774,Electrical,Medium,41189.03694857961
1.8790490260574548,3,6203.421999304131,Software,Medium,1156.580978314896
7.158097238609412,5,128451.32885792454,Electrical,High,53134.675655545034
4.961372443656412,3,131095.93666003837,Mechanical,Medium,16316.68860087011
2.0983441136030097,2,35557.898836644104,Software,Low,2570.31928096962
5.456592191001432,4,479953.43251988856,Software,High,173449.78893049902
1.3094966900369656,1,239649.39199338594,Mechanical,Low,20376.281148465772
9.18388361870904,4,448011.4840885691,Software,High,135845.50950763252
3.3290198344001523,5,161785.53621886956,Electrical,Medium,27194.905829337025
6.962700559185838,1,63491.55164598073,Electrical,Medium,12407.742552816859
3.8053996848046987,5,237693.71884320074,Mechanical,High,63555.53572259076
5.680612190600297,2,57864.36072244426,Electrical,High,7897.463330121778
5.920392514089517,1,243521.73598579242,Mechanical,Medium,34751.825064033364
2.6636900997297435,5,460228.29342848447,Mechanical,Medium,81877.23292979437
9.726261649881026,2,260863.30277527214,Electrical,High,87742.74049615458
7.976195410250031,4,308633.36372064665,Mechanical,High,127338.14444464559
9.455490474077703,2,79162.58004993034,Electrical,Medium,18564.29766663565
9.053446153848839,3,22824.077314104772,Software,Medium,5887.4378771643005
